value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.1716221	0.1711333	0.1375776	0.1303503	0.09809545	0.2255799	0.1725878	0.1435164	0.03542168	0.121975
0.1607922	0.1644368	0.1311058	0.1271366	0.09202003	0.2233414	0.1960916	0.1485082	0.03748242	0.1105718
0.1405878	0.1559847	0.1337464	0.1422664	0.07650303	0.2137382	0.2170127	0.1640315	0.03935122	0.1008976
0.1224872	0.1503198	0.1324569	0.1539543	0.07549379	0.2035848	0.2208635	0.1468399	0.03997919	0.1101899
0.1118074	0.1709575	0.1297922	0.1609486	0.07501446	0.2367264	0.2324403	0.1418706	0.04333531	0.1060251
0.1067285	0.1605243	0.117527	0.1486402	0.07625286	0.2272411	0.2276469	0.1303372	0.04496117	0.1051815
0.09416864	0.1606555	0.1168683	0.131203	0.07958203	0.212543	0.2251351	0.1421946	0.04665586	0.1005143
0.09141438	0.1546323	0.1144853	0.1275155	0.07932949	0.2278325	0.2079657	0.1627023	0.04885515	0.1071405
0.09335999	0.1556066	0.109076	0.1198253	0.07526215	0.2103571	0.1959977	0.1657269	0.06063506	0.09625976
0.1037857	0.1691511	0.1144058	0.1418509	0.07771671	0.221271	0.1942946	0.1536345	0.06941393	0.09413706
0.09865598	0.1534961	0.1078449	0.1207067	0.08940478	0.2157263	0.2036564	0.1265217	0.07202667	0.09385759
0.1028576	0.1352685	0.11538	0.1043308	0.09404137	0.2208205	0.2108233	0.1038256	0.06611915	0.1055059
0.1073586	0.1335833	0.1226467	0.0987785	0.09851651	0.1932977	0.218659	0.1076138	0.07051506	0.1024583
0.1049314	0.128855	0.1144498	0.1112693	0.08999693	0.2287355	0.216281	0.1018686	0.06944314	0.09085572
0.09912531	0.1231235	0.09969995	0.1008363	0.08677363	0.204007	0.2362544	0.1061677	0.0656026	0.08714329
0.08499979	0.1312183	0.1027489	0.09067947	0.08837514	0.1888875	0.2327987	0.1061962	0.05612788	0.09587602
0.09318994	0.1379049	0.0865949	0.09389149	0.08274573	0.1796405	0.2310281	0.1148277	0.05398377	0.1081661
0.0919284	0.1282815	0.07824504	0.08088119	0.08590011	0.1649294	0.2522542	0.1033267	0.05142238	0.1243286
0.08540938	0.1170615	0.07738046	0.09319597	0.08766934	0.1614422	0.2751365	0.09772918	0.04715747	0.1134912
0.09784325	0.1367372	0.07396871	0.0902397	0.08086674	0.1371153	0.2594627	0.1095347	0.04920115	0.09727751
0.1108197	0.1274485	0.07422038	0.08801368	0.09642256	0.1459271	0.2289762	0.110884	0.04662894	0.09286183
0.1110917	0.1215885	0.08550115	0.1080132	0.08276015	0.1655694	0.2071169	0.1128072	0.04528528	0.1011459
0.1076617	0.1364448	0.08644902	0.1071408	0.08988357	0.1469614	0.2103684	0.1064127	0.04391521	0.09779504
0.1131033	0.1438632	0.09327611	0.1108131	0.08616413	0.1386243	0.2329352	0.1237586	0.05150442	0.08470974
0.1219738	0.1419287	0.1070648	0.1007371	0.08033172	0.1358295	0.2310531	0.1275404	0.05158581	0.1003641
0.1183198	0.144048	0.1149217	0.1197279	0.0739161	0.1080526	0.2343209	0.1116958	0.06185871	0.0879646
0.1166552	0.1653503	0.1106111	0.1308181	0.073535	0.1252165	0.218094	0.10584	0.05562611	0.07650889
0.1062461	0.1747759	0.1017812	0.1393977	0.07621196	0.1296443	0.1991901	0.1051977	0.04735962	0.07468112
0.1147161	0.1500474	0.1055831	0.1437621	0.07865214	0.1359814	0.2175502	0.09839039	0.0398795	0.06943637
0.1186416	0.1323071	0.09824756	0.1248682	0.07926744	0.1158193	0.1976559	0.09821664	0.03827104	0.06824962
0.118628	0.1156979	0.08356119	0.1334593	0.07601686	0.1062214	0.1933314	0.08266407	0.03872812	0.07222602
0.1261521	0.100908	0.0766349	0.1130415	0.07466878	0.1011571	0.2005126	0.08136577	0.04004974	0.08057248
0.1266331	0.09108387	0.0803035	0.1029173	0.06768517	0.1005807	0.1749839	0.08902517	0.03837638	0.07569075
0.141753	0.09514437	0.07969207	0.08888788	0.07516661	0.1061014	0.1567606	0.09116112	0.03909137	0.08490752
0.1184569	0.1066577	0.09398626	0.08469057	0.06968708	0.1010202	0.1415215	0.08341329	0.03888307	0.07834958
0.1259588	0.09929612	0.09015601	0.09111787	0.06515962	0.1063441	0.15001	0.07542112	0.04371166	0.08045055
0.1309803	0.09932924	0.09548633	0.08028259	0.07455105	0.1105404	0.1546016	0.08991696	0.03977986	0.07079789
0.1058884	0.09644683	0.1015936	0.06772296	0.07068316	0.113875	0.1407842	0.0989191	0.04481032	0.07148064
0.1001894	0.08223624	0.07668557	0.06405427	0.07571784	0.1197557	0.1410781	0.1044004	0.04334577	0.07799828
0.09204652	0.07600993	0.08729117	0.06665344	0.0795157	0.1116008	0.1427403	0.1115602	0.04270715	0.07727476
0.08209581	0.07558991	0.08261489	0.07348593	0.09577158	0.1238147	0.1537922	0.1063981	0.04251284	0.07740549
0.08191976	0.06907062	0.07798711	0.079659	0.09907133	0.1157306	0.1197035	0.1043305	0.04329747	0.08921913
0.07805863	0.06718966	0.09007785	0.09268862	0.1142114	0.115292	0.1137586	0.09401388	0.04206634	0.08671453
0.07220334	0.06590064	0.08048379	0.1036141	0.1046215	0.130616	0.1195415	0.08757981	0.0425437	0.08908735
0.08598974	0.06232821	0.07055498	0.1040888	0.1128991	0.1301221	0.1261364	0.08419189	0.04097855	0.08343738
0.09716918	0.07024666	0.07181993	0.1060478	0.1266774	0.1358544	0.1479146	0.07561561	0.0461229	0.07753852
0.09922723	0.06500841	0.06905995	0.1162733	0.1191323	0.1346909	0.1291442	0.0823672	0.05212595	0.07861202
0.1025525	0.06493911	0.07387169	0.1247979	0.1032274	0.1259347	0.1312097	0.08032799	0.05298563	0.07934744
0.1093038	0.05264963	0.07936598	0.1276009	0.1183481	0.1189119	0.14805	0.09147398	0.04950323	0.08346718
0.1089924	0.05662153	0.0831878	0.1225312	0.1168973	0.1153324	0.1648859	0.07913964	0.05309918	0.0900688
0.1103774	0.05655651	0.08537108	0.1246201	0.1097607	0.1105977	0.1589073	0.08071068	0.05374914	0.08436228
0.1011071	0.05711357	0.09089317	0.1410587	0.1327368	0.104338	0.1623299	0.08127512	0.05014033	0.08478744
0.1098012	0.048619130000000003	0.09838919	0.1505357	0.1253456	0.0997783	0.1439373	0.08377163	0.04752487	0.08551533
0.1078782	0.05204092	0.0893408	0.157767	0.1281116	0.09028377	0.1569947	0.07849175	0.04934952	0.07935616
0.1143187	0.04855785	0.1011274	0.1887272	0.1139765	0.07703264	0.159595	0.08132954	0.04747758	0.07947326
0.1023716	0.05258975	0.1032524	0.1754448	0.1018071	0.07665902	0.1644598	0.08073104	0.04486452	0.07569177
0.1130725	0.05327576	0.1058502	0.1734436	0.1010793	0.06454276	0.19684	0.08212672	0.05065943	0.07797501
0.09924355	0.04654761	0.1014873	0.1826863	0.09662776	0.07054319	0.1973629	0.0847127	0.04940167	0.07413594
0.09542197	0.04974556	0.1138617	0.1834145	0.09384247	0.07357892	0.1900357	0.0890326	0.05389289	0.08003592
0.09154197	0.04625221	0.11339780000000001	0.1869448	0.08874238	0.07051245	0.2024239	0.07627894	0.05751539	0.0842438
0.08988047	0.05123122	0.1074486	0.167411	0.08694523	0.07257507	0.2027907	0.07719094	0.05943572	0.09638951
0.09303015	0.04674727	0.10034	0.1576289	0.08588684	0.08081453	0.162334	0.08702475	0.05876888	0.1040152
0.08577767	0.04638513	0.09656884	0.1646322	0.08329949	0.08561199	0.1480298	0.09233177	0.06769344	0.1086603
0.07804598	0.04415216	0.09407034	0.1700207	0.08398145	0.09354013	0.139863	0.09816812	0.07651681	0.1116191
0.08116371	0.0428997	0.1036254	0.1545099	0.08831988	0.1058313	0.1376577	0.09542105	0.078387	0.1212333
0.09140457	0.04178209	0.1137653	0.1555399	0.08408265	0.09781793	0.1393115	0.1014242	0.0714791	0.1146169
0.09141837	0.04279367	0.1053144	0.1465768	0.08222191	0.1103325	0.1368725	0.09700766	0.0677354	0.1025901
0.08199796	0.05081375	0.105244	0.1719495	0.08158993	0.1049198	0.1315863	0.1133073	0.06183933	0.09321982
0.08696979	0.05170533	0.1015715	0.1842056	0.08627204	0.08966506	0.1340441	0.1045339	0.0601733	0.1060783
0.07890059	0.04589009	0.1095394	0.1836719	0.09726426	0.08471223	0.1488693	0.1031865	0.05343988	0.09323402
0.080175	0.042533	0.1051545	0.1979274	0.08708513	0.08987516	0.134114	0.09314364	0.05235022	0.1044112
0.06930178	0.04212469	0.09079587	0.2107727	0.09110234	0.0944632	0.1674258	0.09076708	0.05986378	0.1098193
0.05928224	0.04087989	0.08808211	0.1865235	0.08683688	0.08372594	0.1659547	0.08418886	0.05984964	0.09973233
0.05694499	0.04349926	0.09667292	0.1840685	0.09730624	0.07512515	0.1786821	0.08860992	0.06498836	0.09957582
0.05525121	0.04678511	0.1086228	0.1769907	0.104382	0.07969065	0.1941466	0.09375128	0.06636725	0.09704044
0.06090529	0.05135542	0.1178639	0.1882294	0.1098768	0.07665072	0.2103193	0.1049672	0.07705167	0.09378557
0.05276896	0.05955446	0.1398425	0.1921954	0.09840673	0.07086104	0.2030058	0.1070401	0.06332393	0.1052767
0.05193872	0.05910137	0.1281634	0.1790738	0.1173011	0.08011389	0.1906299	0.09031937	0.0650092	0.1064542
0.05655037	0.05794037	0.1178893	0.1591674	0.09453344	0.09031389	0.1990994	0.08159045	0.06784929	0.1073987
0.05345319	0.05483071	0.1053503	0.2123339	0.0841262	0.09132282	0.1892671	0.08679175	0.06436567	0.1146005
0.04906837	0.05442732	0.1079578	0.1994766	0.08000317	0.09207958	0.2095315	0.09760357	0.05812127	0.1254935
0.05184251	0.05371923	0.1019377	0.1819093	0.08101327	0.1055332	0.1873126	0.09658534	0.05976281	0.140365
0.04985859	0.05933306	0.09794334	0.1745557	0.1003332	0.1085003	0.1671957	0.08810478	0.0645494	0.1452509
0.05027642	0.05711662	0.1038782	0.1475705	0.09323916	0.1265148	0.1509425	0.08671307	0.06746365	0.1458954
0.04749204	0.05706821	0.09732723	0.1521545	0.08507977	0.141315	0.1381357	0.09559092	0.06903787	0.1335657
0.05230284	0.05872434	0.09924562	0.1290827	0.08202299	0.159841	0.1412788	0.08563877	0.05746506	0.1361131
0.05298219	0.0609463	0.08594179	0.1396048	0.06616919	0.1406667	0.1609836	0.0769266	0.05582688	0.1389194
0.06211891	0.06314606	0.07175868	0.1438413	0.0743266	0.1730292	0.1644572	0.07133626	0.06582466	0.1351251
0.05477266	0.06380693	0.07742286	0.1399154	0.06772875	0.1595839	0.1796339	0.07679299	0.06215698	0.1406624
0.05472846	0.0570918	0.08888379	0.1213617	0.07131108	0.1506563	0.1886206	0.0656159	0.05980525	0.145087
