varU	varE	Ind_gen	Densidad	h2	Pedigrí	Enfoque
0.40345931218	0.14504165519	451	10.000	0.74	Pedigrí 1.9	Bayesiano
0.39004846957	0.212956496846	0	100.000	0.65	Pedigrí 1.9	Bayesiano
0.40115344592	0.203802753975	148	100.000	0.66	Pedigrí 1.9	Bayesiano
0.40176369231	0.176196127285	298	100.000	0.7	Pedigrí 1.9	Bayesiano
0.40241835388	0.138303580942	451	100.000	0.74	Pedigrí 1.9	Bayesiano
0.44113994944	0.133742570057	0	1.000	0.77	Pedigrí 1.10	Bayesiano
0.46670478192	0.129056210936	148	1.000	0.78	Pedigrí 1.10	Bayesiano
0.46854485058	0.131654307864	298	1.000	0.78	Pedigrí 1.10	Bayesiano
0.35075160476	0.22809100393	451	1.000	0.61	Pedigrí 1.10	Bayesiano
0.44412461798	0.132014748862	0	10.000	0.77	Pedigrí 1.10	Bayesiano
0.44928807629	0.134541490512	148	10.000	0.77	Pedigrí 1.10	Bayesiano
0.43578820989	0.127411459637	298	10.000	0.77	Pedigrí 1.10	Bayesiano
0.40179096183	0.145131370352	451	10.000	0.73	Pedigrí 1.10	Bayesiano
0.44111060063	0.134020658014	0	100.000	0.77	Pedigrí 1.10	Bayesiano
0.45136170397000003	0.131091973181	148	100.000	0.77	Pedigrí 1.10	Bayesiano
0.43310945929	0.128700622779	298	100.000	0.77	Pedigrí 1.10	Bayesiano
0.40216062888	0.138103735753	451	100.000	0.74	Pedigrí 1.10	Bayesiano
0.4882408035676469	0.11312627486517282	0	1.000	0.81	Pedigrí 1.1	REML
0.5288393492289879	0.09199201253201812	148	1.000	0.85	Pedigrí 1.1	REML
0.4973081060839121	0.10411682869984111	298	1.000	0.83	Pedigrí 1.1	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.1	REML
0.4882408035676469	0.11312627486517282	0	10.000	0.81	Pedigrí 1.1	REML
0.4873571519856221	0.11263656366750815	148	10.000	0.81	Pedigrí 1.1	REML
0.4873571519856221	0.11263656366750815	298	10.000	0.81	Pedigrí 1.1	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.1	REML
0.4882408035676469	0.11312627486517282	0	100.000	0.81	Pedigrí 1.1	REML
0.4926510288970038	0.10862273842394479	148	100.000	0.82	Pedigrí 1.1	REML
0.4539089322795922	0.1046289786132731	298	100.000	0.81	Pedigrí 1.1	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.1	REML
0.41557255241031604	0.17621802713522483	0	1.000	0.7	Pedigrí 1.2	REML
0.4642514991260236	0.15113273480474482	148	1.000	0.75	Pedigrí 1.2	REML
0.5003570778921043	0.11854825373080183	298	1.000	0.81	Pedigrí 1.2	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.2	REML
0.41557255241031604	0.17621802713522483	0	10.000	0.7	Pedigrí 1.2	REML
0.43046401528629125	0.16673459100533283	148	10.000	0.72	Pedigrí 1.2	REML
0.46098317019406315	0.11533983023873505	298	10.000	0.8	Pedigrí 1.2	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.2	REML
0.41557255241031604	0.17621802713522483	0	100.000	0.7	Pedigrí 1.2	REML
0.4331159318023014	0.16442574655488093	148	100.000	0.72	Pedigrí 1.2	REML
0.4563621467044445	0.11806572874132475	298	100.000	0.79	Pedigrí 1.2	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.2	REML
0.462858740417765	0.12426985099490129	0	1.000	0.79	Pedigrí 1.3	REML
0.5201663769944718	0.09425810185956755	148	1.000	0.85	Pedigrí 1.3	REML
0.49086870664881177	0.11835607855806717	298	1.000	0.81	Pedigrí 1.3	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.3	REML
0.462858740417765	0.12426985099490129	0	10.000	0.79	Pedigrí 1.3	REML
0.48510569173120277	0.11125764905921393	148	10.000	0.81	Pedigrí 1.3	REML
0.4467150232471495	0.1186277680602067	298	10.000	0.79	Pedigrí 1.3	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.3	REML
0.462858740417765	0.12426985099490129	0	100.000	0.79	Pedigrí 1.3	REML
0.4923319215060968	0.10578571241757323	148	100.000	0.82	Pedigrí 1.3	REML
0.4417463470673425	0.12213199838413655	298	100.000	0.78	Pedigrí 1.3	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.3	REML
0.4818953466547321	0.10706934330068975	0	1.000	0.82	Pedigrí 1.4	REML
