value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.3965559	0.466908	0.4493211	0.2708313	0.4339547	0.5284218	0.5320341	0.4934735	0.3101175	0.4941745
0.4143496	0.4957592	0.363562	0.3431796	0.4390699	0.5623961	0.4358643	0.5672243	0.3276265	0.6011476
0.4140739	0.5485542	0.3966015	0.351785	0.484456	0.5330678	0.3983643	0.4561525	0.3780083	0.4658197
0.4299102	0.469954	0.4072936	0.3593078	0.4359952	0.5193032	0.3764847	0.4491971	0.4454197	0.56063
0.3889425	0.412677	0.3737491	0.4106536	0.4927426	0.4737621	0.4215571	0.4563886	0.4060333	0.5664761
0.4237253	0.4326119	0.3845947	0.4496069	0.4575237	0.477937	0.4050598	0.5472625	0.3694509	0.4430465
0.5101722	0.4597891	0.3681365	0.3852719	0.4504024	0.4503764	0.384822	0.4910105	0.3026464	0.4346411
0.550721	0.5062277	0.3253511	0.411859	0.3726893	0.4908495	0.5177624	0.479581	0.2710538	0.4088152
0.4543319	0.5659405	0.3737727	0.53251	0.3516009	0.4735534	0.4458585	0.42683	0.3459584	0.3735862
0.4859283	0.4353985	0.3943682	0.4733438	0.4912478	0.431807	0.4199449	0.3447328	0.3225866	0.3866046
0.4033113	0.5753502	0.3719216	0.4279839	0.5527433	0.4465377	0.4529077	0.3991841	0.3425086	0.4035986
0.5584436	0.5345616	0.2674056	0.3790763	0.5024799	0.4585589	0.4296627	0.3969344	0.2835126	0.4081586
0.4821905	0.4202056	0.3603183	0.4609696	0.5052567	0.4683371	0.4834226	0.3628793	0.3089824	0.4223973
0.4195758	0.4737605	0.3870019	0.4466725	0.4756514	0.4541923	0.4250831	0.3518637	0.3165206	0.3440252
0.4064937	0.4563908	0.391081	0.4629966	0.5602689	0.4724151	0.4161965	0.3748347	0.3069075	0.3661789
0.3839724	0.4322615	0.3460017	0.4985546	0.502988	0.444476	0.4445254	0.3578416	0.298384	0.4083774
0.3802103	0.4073749	0.3317458	0.4102448	0.4356562	0.3723184	0.5509377	0.397584	0.293416	0.4382993
0.4079196	0.3527561	0.3492562	0.4267835	0.3869109	0.4223521	0.5342922	0.3042398	0.3585279	0.4176315
0.4401068	0.3865079	0.3156895	0.436761	0.453697	0.4486149	0.4783041	0.3996471	0.3741629	0.3852307
0.4638904	0.4209254	0.3727408	0.4699034	0.4250526	0.4723782	0.5095555	0.4007371	0.3529905	0.3565886
0.4438165	0.4648573	0.3581949	0.4141468	0.4339023	0.4410895	0.4281724	0.4378147	0.3110532	0.3980188
0.4569994	0.5041766	0.3672441	0.4772523	0.5139934	0.4861346	0.4723123	0.4387932	0.3616314	0.3376423
0.3615391	0.5260609	0.4428297	0.474033	0.4516847	0.435274	0.4436224	0.5077292	0.394606	0.3338295
0.3938143	0.5179158	0.4094214	0.4247929	0.4525466	0.4537383	0.4109294	0.4442454	0.4213557	0.4244569
0.4468553	0.6201214	0.4190878	0.3449231	0.5052995	0.5217266	0.4251627	0.3841185	0.4103987	0.4154458
0.4819685	0.6241738	0.4537841	0.4151176	0.4899081	0.5171956	0.4803302	0.4513574	0.4247724	0.4709731
0.4579979	0.4401825	0.4581925	0.3988439	0.492519	0.4873512	0.4491193	0.4428482	0.3475173	0.3699915
0.4003627	0.4921074	0.4869921	0.4581668	0.4507436	0.4645676	0.3831417	0.5054745	0.3463311	0.4011504
0.4966649	0.4572435	0.4501624	0.4298397	0.4584653	0.4829376	0.3871753	0.4384552	0.4153081	0.3579459
0.5252347	0.4842182	0.4507464	0.4363139	0.5672375	0.50036	0.4536201	0.4226744	0.4455289	0.3884291
0.3805881	0.4538008	0.3781048	0.4159104	0.5271558	0.5036627	0.4507091	0.4669141	0.4366812	0.4137864
0.462055	0.4762242	0.4727668	0.3541301	0.4592398	0.5789959	0.396011	0.4556716	0.4349966	0.360832
0.5307874	0.3758296	0.4376656	0.3361088	0.5397208	0.5622218	0.4074997	0.4005256	0.4394407	0.3726571
0.4546477	0.3854218	0.5377113	0.4394852	0.487223	0.3705724	0.3660807	0.441603	0.439185	0.4903416
0.5133321	0.3433527	0.538004	0.4538772	0.4482882	0.3904772	0.4603505	0.4701996	0.3816625	0.5051425
0.4858722	0.2979022	0.4485988	0.4876397	0.3980091	0.4091938	0.348086	0.3617193	0.3844141	0.4358244
0.6065337	0.3778923	0.469867	0.5322789	0.3922121	0.4756723	0.3260076	0.3679535	0.414113	0.4724892
0.5364627	0.3270422	0.4408275	0.4852905	0.3985391	0.606279	0.389	0.4000504	0.4421019	0.5366381
0.4951462	0.344263	0.4814107	0.354486	0.3788596	0.5560231	0.3710283	0.3757454	0.4038925	0.5360435
0.4897616	0.3409842	0.4243412	0.3900689	0.4214913	0.4771216	0.3615664	0.3293044	0.3660219	0.4659509
0.4858235	0.3835496	0.4658576	0.4027425	0.440046	0.484727	0.381561	0.3201443	0.417297	0.4279813
0.4420996	0.3348301	0.4925806	0.4334133	0.4463524	0.5264268	0.4089769	0.4083626	0.35641	0.4657036
0.4412113	0.3313277	0.4565251	0.3350192	0.4405412	0.6342413	0.4125208	0.4195464	0.405876	0.4327807
0.4828393	0.363988	0.4341353	0.2998929	0.5157961	0.5821516	0.4405714	0.4626555	0.3107636	0.4825385
0.4765693	0.4343303	0.5250069	0.3591151	0.4333417	0.509154	0.5285751	0.4786603	0.3071887	0.4778005
0.4932159	0.3711608	0.4850477	0.4017386	0.4860166	0.4741785	0.5193665	0.4605671	0.362124	0.4865188
0.4767151	0.3241878	0.3978363	0.3726709	0.3632386	0.3934434	0.4817105	0.4777797	0.3919783	0.5270465
0.5234845	0.4327127	0.4285822	0.4283258	0.3863196	0.364007	0.4671503	0.5139135	0.4013241	0.50353
0.4410184	0.4049228	0.4501261	0.4989949	0.3513015	0.4649647	0.4251307	0.4502181	0.3894009	0.4364164
0.4183988	0.3847407	0.4350716	0.4186348	0.2940859	0.4547581	0.4255163	0.3554232	0.3632202	0.4019396
0.3811198	0.4482145	0.3710801	0.4569397	0.3784175	0.4981946	0.5228191	0.3383578	0.3901843	0.427776
0.3321242	0.4166715	0.3857022	0.4152423	0.3676894	0.5685033	0.5316327	0.3549633	0.4391633	0.4791028
0.3259333	0.4096943	0.498634	0.4209698	0.4391639	0.5515132	0.4939837	0.3516024	0.4069135	0.4713657
0.3389878	0.4759899	0.4424487	0.5008611	0.4120649	0.5752286	0.5204595	0.3667533	0.3644893	0.454057
0.4436962	0.5387681	0.4290424	0.3930093	0.3949685	0.466132	0.5231089	0.3488765	0.5807094	0.3552218
0.4638081	0.5004249	0.4460959	0.3963787	0.3699416	0.4747802	0.5561083	0.3342847	0.425282	0.3498768
0.4810384	0.494	0.3969565	0.3758222	0.4423528	0.572235	0.5009992	0.3125152	0.3259212	0.3772477
0.5404366	0.4152507	0.4002569	0.4448569	0.4380228	0.5623695	0.5515544	0.3774767	0.301666	0.4184717
0.4147609	0.368905	0.4308392	0.3870574	0.443376	0.4696167	0.5154146	0.3670254	0.3075448	0.3659
0.3504326	0.3032949	0.4075347	0.4096053	0.4180159	0.5410041	0.3982738	0.4165997	0.3497944	0.3702496
0.3827875	0.3853179	0.4133316	0.3563166	0.4308779	0.5592596	0.4125012	0.3206897	0.3652701	0.370289
0.3699623	0.3715584	0.4036698	0.3642986	0.4667065	0.4215249	0.4514746	0.3774901	0.353049	0.4209626
0.3880089	0.3825298	0.367314	0.3535139	0.4267924	0.4757937	0.4009392	0.429512	0.3456881	0.3897764
0.4858153	0.428596	0.4307357	0.3353526	0.4079739	0.4113971	0.4522663	0.3937965	0.4375509	0.4042298
0.4260752	0.4619634	0.4021491	0.381469	0.3091941	0.405551	0.3432042	0.3467789	0.444133	0.4223033
0.4928955	0.4012839	0.4522731	0.4018469	0.3651269	0.4330825	0.3586283	0.347513	0.4258015	0.4220661
0.5429416	0.3484545	0.3749924	0.3703543	0.3692433	0.4918247	0.3264306	0.3416611	0.4743964	0.4252295
0.4632622	0.3989529	0.3726102	0.443089	0.3485015	0.4629168	0.3227951	0.296063	0.39523200000000003	0.3825962
0.4134593	0.4347936	0.3960613	0.3914501	0.3652566	0.4348372	0.342274	0.3596339	0.3565339	0.416531
0.4582632	0.3735868	0.3790203	0.4676825	0.3904055	0.3607086	0.2830961	0.3634422	0.4848276	0.4390847
0.4736328	0.4162921	0.395056	0.4958716	0.332925	0.3530647	0.3704021	0.3450823	0.3706427	0.4716915
0.4347692	0.4291458	0.3812245	0.4063755	0.3423262	0.3876631	0.4062728	0.3913534	0.468225	0.4433929
0.432018	0.4420979	0.4727457	0.4088454	0.3167652	0.5038354	0.4091396	0.3583443	0.4114378	0.4524989
0.4425899	0.3957887	0.4456809	0.3836719	0.3571525	0.4217883	0.4989895	0.362793	0.3467164	0.3665918
0.4640225	0.3859835	0.416016	0.4431794	0.3823257	0.4070356	0.4821597	0.3596193	0.4278868	0.2976685
0.4039295	0.4421558	0.3770758	0.4009705	0.4168341	0.4664791	0.5228953	0.4035921	0.3528689	0.3231531
0.4825055	0.3627269	0.3731234	0.3325218	0.3882386	0.5032646	0.4908908	0.369741	0.4029699	0.4288421
0.5046673	0.3612927	0.3518422	0.333249	0.4006017	0.4524381	0.4456071	0.4379135	0.4196106	0.4412932
0.5061868	0.389449	0.4161233	0.3858467	0.4103963	0.3674158	0.4252283	0.379658	0.3558734	0.4266101
0.4749791	0.3277326	0.3543713	0.3960788	0.4215197	0.3945138	0.451076	0.3140909	0.3752688	0.4200802
0.4907374	0.3155355	0.3808924	0.3789867	0.3613124	0.3934234	0.4773835	0.4893718	0.4859598	0.406875
0.5116082	0.3173446	0.3966302	0.3658844	0.3548009	0.3415115	0.5425339	0.4394556	0.426599	0.5372413
0.4709813	0.2958941	0.3674673	0.3534665	0.4112488	0.3400351	0.4484365	0.4234353	0.4557644	0.453267
0.434067	0.2954291	0.4135388	0.302357	0.3808479	0.3969169	0.3384118	0.4098281	0.5156059	0.4299857
0.4637936	0.3521699	0.448612	0.3656577	0.3837503	0.453527	0.3837874	0.3951974	0.5014735	0.4591432
0.572209	0.4150416	0.4621262	0.3780418	0.4127696	0.4430307	0.4027668	0.3930246	0.4325545	0.3845805
0.5620492	0.4667645	0.3754506	0.3297829	0.425355	0.4443954	0.4298825	0.4308743	0.3345571	0.4259799
0.5036613	0.4280939	0.3739551	0.3681792	0.4505884	0.5232849	0.3860319	0.4267401	0.3222105	0.4746757
0.4835671	0.4775204	0.3932434	0.34388	0.4699982	0.5400632	0.3423104	0.4982726	0.2961716	0.4159384
0.4782213	0.5163171	0.3997031	0.4075022	0.4926947	0.5481755	0.3737595	0.4550566	0.3320251	0.4576246
0.5147873	0.5750222	0.5666512	0.3368146	0.4420643	0.4145948	0.3972388	0.4213049	0.3840067	0.4198719
0.5078284	0.5136907	0.4543079	0.401256	0.4618107	0.4118672	0.3673043	0.483579	0.3478706	0.3803708
0.4918522	0.5484627	0.3921132	0.3370471	0.3902618	0.4434515	0.423	0.4753912	0.4166046	0.3816381
0.5276508	0.5039759	0.4396092	0.3368738	0.4521133	0.5075919	0.377136	0.486296	0.4094778	0.3680513
0.4638347	0.4537548	0.3522238	0.3258899	0.4418013	0.5034848	0.4175024	0.4735268	0.3720365	0.3457302
0.4485603	0.4669528	0.4862312	0.3989105	0.4877445	0.3881634	0.481757	0.4033989	0.4025611	0.3746987
0.4844984	0.4817746	0.4453092	0.3366778	0.476843	0.4257235	0.3943624	0.3690719	0.3863691	0.3446917
0.536745	0.6084641	0.4462065	0.3582199	0.5024071	0.4502609	0.4805971	0.4619947	0.4318174	0.332899
0.4690526	0.4692901	0.4556069	0.3518059	0.4834064	0.4544876	0.3898048	0.5485837	0.4026568	0.3513353
0.5026336	0.5498259	0.4556661	0.336505	0.5081305	0.4539489	0.4545603	0.4762448	0.2844072	0.3780568
0.4223902	0.517663	0.5368021	0.349498	0.3875297	0.4173284	0.5097492	0.523725	0.2669045	0.3563382
0.3790725	0.4637126	0.5227732	0.4377205	0.4505955	0.3569951	0.4104224	0.4806633	0.334132	0.4351438
